,f1,cv
D-KNN,0.323,0.327
D-tKNN,0.369,0.39
D-NSC,0.473,0.416
D-tNSC,0.473,0.416
LSVM,0.573,0.565
tLSVM,0.673,0.634
LR,0.612,0.596
tLR,0.496,0.428
