,f1,cv
D-KNN,0.342,0.317
D-tKNN,0.365,0.448
D-NSC,0.408,0.378
D-tNSC,0.423,0.383
LSVM,0.465,0.486
tLSVM,0.562,0.597
LR,0.527,0.549
tLR,0.469,0.477
