,f1,cv
D-KNN,0.158,0.196
D-tKNN,0.238,0.238
D-NSC,0.569,0.482
D-tNSC,0.569,0.482
LSVM,0.7,0.684
tLSVM,0.781,0.715
LR,0.735,0.712
tLR,0.527,0.479
