,f1,cv
D-KNN,0.875,0.808
D-tKNN,0.915,0.894
D-NSC,0.938,0.894
D-tNSC,0.93,0.898
LSVM,0.965,0.96
tLSVM,0.968,0.966
LR,0.968,0.962
tLR,0.89,0.782
