,f1,cv
KNN,0.635,0.548
tKNN,0.862,0.842
NSC,0.702,0.64
tNSC,0.855,0.835
MNB,0.888,0.848
tMNB,0.888,0.853
LSVM,0.915,0.865
tLSVM,0.91,0.867
LR,0.908,0.845
tLR,0.928,0.867
