,f1,cv
D-KNN,0.858,0.793
D-tKNN,0.908,0.884
D-NSC,0.935,0.884
D-tNSC,0.928,0.89
LSVM,0.952,0.96
tLSVM,0.955,0.967
LR,0.962,0.964
tLR,0.875,0.784
