,f1,cv
KNN,0.638,0.543
tKNN,0.885,0.851
NSC,0.705,0.674
tNSC,0.898,0.859
MNB,0.075,0.09
tMNB,0.898,0.867
LSVM,0.74,0.642
tLSVM,0.905,0.844
LR,0.09,0.094
tLR,0.518,0.444
