,f1,cv
D-KNN,0.805,0.736
D-tKNN,0.948,0.903
D-NSC,0.942,0.853
D-tNSC,0.933,0.874
LSVM,0.997,0.976
tLSVM,0.997,0.978
LR,0.997,0.978
tLR,0.852,0.754
