,f1,cv
KNN,0.63,0.555
tKNN,0.862,0.858
NSC,0.698,0.666
tNSC,0.855,0.857
MNB,0.898,0.882
tMNB,0.9,0.883
LSVM,0.91,0.878
tLSVM,0.912,0.878
LR,0.905,0.857
tLR,0.928,0.837
