,f1,cv
KNN,0.492,0.417
tKNN,0.875,0.874
NSC,0.712,0.654
tNSC,0.855,0.763
MNB,0.075,0.09
tMNB,0.92,0.882
LSVM,0.778,0.695
tLSVM,0.875,0.808
LR,0.103,0.096
tLR,0.492,0.395
