,f1,cv
D-KNN,0.842,0.765
D-tKNN,0.878,0.857
D-NSC,0.915,0.882
D-tNSC,0.91,0.887
LSVM,0.943,0.931
tLSVM,0.945,0.945
LR,0.95,0.94
tLR,0.89,0.815
