,f1,cv
D-KNN,0.302,0.313
D-tKNN,0.318,0.356
NSC,0.27,0.292
D-tNSC,0.253,0.297
MNB,0.075,0.09
tMNB,0.382,0.405
LSVM,0.392,0.386
tLSVM,0.518,0.464
LR,0.15,0.101
tLR,0.45,0.338
