,f1,cv
KNN,0.622,0.551
tKNN,0.878,0.853
NSC,0.715,0.663
tNSC,0.893,0.851
MNB,0.932,0.882
tMNB,0.932,0.883
LSVM,0.905,0.874
tLSVM,0.91,0.877
LR,0.905,0.862
tLR,0.903,0.828
