,f1,cv
D-KNN,0.833,0.728
D-tKNN,0.95,0.892
D-NSC,0.935,0.85
D-tNSC,0.932,0.872
LSVM,0.995,0.973
tLSVM,0.985,0.976
LR,0.995,0.976
tLR,0.84,0.748
