,f1,cv
KNN,0.61,0.556
tKNN,0.87,0.869
NSC,0.69,0.672
tNSC,0.862,0.86
MNB,0.925,0.896
tMNB,0.932,0.902
LSVM,0.908,0.891
tLSVM,0.905,0.892
LR,0.898,0.878
tLR,0.852,0.809
