,f1,cv
KNN,0.5,0.417
tKNN,0.88,0.879
NSC,0.705,0.655
tNSC,0.84,0.76
MNB,0.075,0.09
tMNB,0.898,0.886
LSVM,0.792,0.7
tLSVM,0.855,0.824
LR,0.108,0.097
tLR,0.462,0.392
