,f1,cv
KNN,0.588,0.553
tKNN,0.83,0.815
NSC,0.65,0.646
tNSC,0.832,0.819
MNB,0.075,0.09
tMNB,0.855,0.824
LSVM,0.688,0.617
tLSVM,0.855,0.819
LR,0.095,0.094
tLR,0.572,0.459
