,f1,cv
KNN,0.605,0.528
tKNN,0.805,0.781
NSC,0.655,0.624
tNSC,0.788,0.776
MNB,0.075,0.09
tMNB,0.825,0.783
LSVM,0.638,0.579
tLSVM,0.86,0.797
LR,0.085,0.094
tLR,0.582,0.454
