,f1,cv
D-KNN,0.75,0.66
D-tKNN,0.905,0.901
D-NSC,0.84,0.747
D-tNSC,0.84,0.747
LSVM,0.997,0.987
tLSVM,0.995,0.987
LR,0.995,0.987
tLR,0.748,0.613
