,f1,cv
KNN,0.588,0.465
tKNN,0.912,0.864
NSC,0.765,0.642
tNSC,0.898,0.797
MNB,0.075,0.09
tMNB,0.925,0.858
LSVM,0.805,0.664
tLSVM,0.895,0.825
LR,0.098,0.097
tLR,0.53,0.396
