,f1,cv
D-KNN,0.81,0.706
D-tKNN,0.943,0.91
D-NSC,0.932,0.792
D-tNSC,0.923,0.801
LSVM,0.997,0.977
tLSVM,0.995,0.977
LR,0.997,0.976
tLR,0.788,0.66
