,f1,cv
D-KNN,0.285,0.29
D-tKNN,0.302,0.337
NSC,0.27,0.288
tNSC,0.268,0.293
MNB,0.075,0.09
tMNB,0.358,0.368
LSVM,0.378,0.358
tLSVM,0.465,0.415
LR,0.138,0.103
tLR,0.41,0.323
