,f1,cv
KNN,0.628,0.543
tKNN,0.847,0.814
NSC,0.695,0.622
tNSC,0.82,0.815
MNB,0.075,0.09
tMNB,0.845,0.815
LSVM,0.672,0.59
tLSVM,0.86,0.809
LR,0.095,0.093
tLR,0.577,0.455
