,f1,cv
KNN,0.258,0.233
tKNN,0.381,0.395
NSC,0.258,0.237
tNSC,0.292,0.278
MNB,0.662,0.621
tMNB,0.658,0.623
LSVM,0.527,0.488
tLSVM,0.546,0.53
LR,0.535,0.503
tLR,0.519,0.517
