,f1,cv
KNN,0.242,0.25
tKNN,0.408,0.437
NSC,0.25,0.268
tNSC,0.281,0.315
MNB,0.662,0.639
tMNB,0.692,0.698
LSVM,0.55,0.564
tLSVM,0.569,0.587
LR,0.565,0.569
tLR,0.519,0.54
