,f1,cv
KNN,0.281,0.252
tKNN,0.408,0.463
NSC,0.238,0.258
tNSC,0.277,0.32
MNB,0.696,0.662
tMNB,0.669,0.691
LSVM,0.577,0.556
tLSVM,0.581,0.574
LR,0.577,0.557
tLR,0.577,0.576
