,f1,cv
KNN,0.308,0.238
tKNN,0.446,0.435
NSC,0.285,0.233
tNSC,0.308,0.273
MNB,0.688,0.658
tMNB,0.688,0.671
LSVM,0.558,0.537
tLSVM,0.562,0.56
LR,0.565,0.542
tLR,0.554,0.525
