,f1,cv
D-KNN,0.807,0.784
D-tKNN,0.885,0.861
D-NSC,0.918,0.872
D-tNSC,0.898,0.88
LSVM,0.955,0.928
tLSVM,0.957,0.935
LR,0.957,0.933
tLR,0.903,0.809
