,f1,cv
KNN,0.65,0.533
tKNN,0.905,0.867
NSC,0.742,0.655
tNSC,0.878,0.853
MNB,0.942,0.89
tMNB,0.95,0.899
LSVM,0.932,0.878
tLSVM,0.935,0.88
LR,0.93,0.86
tLR,0.88,0.786
