,f1,cv
D-KNN,0.778,0.593
D-tKNN,0.906,0.829
D-NSC,0.834,0.765
D-tNSC,0.832,0.779
LSVM,0.996,0.979
tLSVM,0.995,0.982
LR,0.996,0.982
tLR,0.944,0.827
