,f1,cv
D-KNN,0.342,0.276
D-tKNN,0.375,0.339
NSC,0.293,0.288
tNSC,0.293,0.288
MNB,0.075,0.09
tMNB,0.438,0.412
LSVM,0.525,0.424
tLSVM,0.63,0.498
LR,0.157,0.105
tLR,0.535,0.4
