,f1,cv
D-KNN,0.302,0.296
D-tKNN,0.315,0.357
NSC,0.333,0.28
tNSC,0.305,0.287
MNB,0.075,0.09
tMNB,0.415,0.391
LSVM,0.408,0.382
tLSVM,0.515,0.468
LR,0.135,0.103
tLR,0.465,0.335
