,f1,cv
KNN,0.404,0.39
tKNN,0.5,0.593
NSC,0.508,0.512
tNSC,0.588,0.565
MNB,0.477,0.512
tMNB,0.55,0.637
LSVM,0.558,0.581
tLSVM,0.577,0.632
LR,0.492,0.524
tLR,0.473,0.487
