,f1,cv
KNN,0.864,0.859
tKNN,0.974,0.977
NSC,0.766,0.765
tNSC,0.918,0.921
MNB,0.953,0.952
tMNB,0.953,0.953
LSVM,0.995,0.997
tLSVM,0.995,0.997
LR,0.994,0.995
tLR,0.996,0.997
