,f1,cv
KNN,0.876,0.865
tKNN,0.989,0.986
NSC,0.769,0.771
tNSC,0.942,0.939
MNB,0.978,0.977
tMNB,0.979,0.98
LSVM,1.0,0.998
tLSVM,1.0,0.998
LR,1.0,0.996
tLR,0.999,0.997
