,f1,cv
KNN,0.887,0.874
tKNN,0.995,0.995
NSC,0.794,0.799
tNSC,0.979,0.974
MNB,0.997,0.996
tMNB,0.996,0.997
LSVM,0.999,0.999
tLSVM,0.999,0.999
LR,0.999,0.997
tLR,0.999,0.996
