,f1,cv
D-KNN,0.369,0.345
D-tKNN,0.438,0.424
NSC,0.342,0.308
tNSC,0.331,0.309
MNB,0.515,0.48
tMNB,0.504,0.494
LSVM,0.6,0.574
tLSVM,0.604,0.604
LR,0.531,0.487
tLR,0.608,0.556
