,f1,cv
KNN,0.412,0.404
tKNN,0.504,0.498
NSC,0.462,0.488
tNSC,0.504,0.522
MNB,0.473,0.501
tMNB,0.523,0.547
LSVM,0.477,0.515
tLSVM,0.554,0.557
LR,0.442,0.463
tLR,0.45,0.469
