,f1,cv
KNN,0.412,0.414
tKNN,0.5,0.515
NSC,0.485,0.484
tNSC,0.508,0.511
MNB,0.508,0.468
tMNB,0.565,0.558
LSVM,0.538,0.515
tLSVM,0.562,0.549
LR,0.485,0.471
tLR,0.485,0.465
