,f1,cv
KNN,0.469,0.409
tKNN,0.485,0.507
NSC,0.492,0.458
tNSC,0.527,0.5
MNB,0.508,0.488
tMNB,0.588,0.543
LSVM,0.535,0.51
tLSVM,0.612,0.563
LR,0.492,0.476
tLR,0.523,0.442
