,f1,cv
D-KNN,0.3,0.281
D-tKNN,0.327,0.339
D-NSC,0.458,0.463
D-tNSC,0.458,0.463
LSVM,0.712,0.67
tLSVM,0.738,0.705
LR,0.719,0.693
tLR,0.465,0.413
