,f1,cv
D-KNN,0.354,0.323
D-tKNN,0.373,0.434
NSC,0.319,0.299
tNSC,0.312,0.302
MNB,0.546,0.533
tMNB,0.531,0.556
LSVM,0.619,0.608
tLSVM,0.612,0.624
LR,0.542,0.538
tLR,0.596,0.588
