,f1,cv
D-KNN,0.3,0.266
D-tKNN,0.277,0.347
D-NSC,0.485,0.467
D-tNSC,0.485,0.467
LSVM,0.731,0.665
tLSVM,0.781,0.705
LR,0.754,0.681
tLR,0.465,0.436
