,f1,cv
D-KNN,0.346,0.328
D-tKNN,0.369,0.387
D-NSC,0.423,0.432
D-tNSC,0.415,0.437
LSVM,0.588,0.553
tLSVM,0.696,0.644
LR,0.608,0.588
tLR,0.442,0.433
