,f1,cv
D-KNN,0.362,0.322
D-tKNN,0.438,0.429
D-NSC,0.435,0.387
D-tNSC,0.435,0.387
LSVM,0.488,0.468
tLSVM,0.615,0.603
LR,0.542,0.54
tLR,0.473,0.456
