,f1,cv
KNN,0.273,0.262
tKNN,0.565,0.576
NSC,0.565,0.577
tNSC,0.558,0.58
MNB,0.331,0.337
tMNB,0.673,0.674
LSVM,0.588,0.629
tLSVM,0.631,0.663
LR,0.535,0.58
tLR,0.438,0.432
