,f1,cv
KNN,0.438,0.299
tKNN,0.74,0.641
NSC,0.38,0.372
tNSC,0.581,0.521
MNB,0.932,0.875
tMNB,0.935,0.878
LSVM,0.958,0.883
tLSVM,0.956,0.888
LR,0.949,0.88
tLR,0.986,0.955
