,f1,cv
KNN,0.446,0.297
tKNN,0.767,0.674
NSC,0.398,0.381
tNSC,0.62,0.56
MNB,0.941,0.891
tMNB,0.941,0.896
LSVM,0.962,0.893
tLSVM,0.963,0.899
LR,0.957,0.89
tLR,0.979,0.953
