,f1,cv
D-KNN,0.317,0.22
D-tKNN,0.39,0.324
NSC,0.298,0.274
tNSC,0.299,0.275
MNB,0.08,0.08
tMNB,0.385,0.345
LSVM,0.118,0.081
tLSVM,0.366,0.283
LR,0.142,0.107
tLR,0.384,0.221
