,f1,cv
D-KNN,0.727,0.537
D-tKNN,0.854,0.768
D-NSC,0.767,0.697
D-tNSC,0.767,0.697
LSVM,0.99,0.971
tLSVM,0.99,0.977
LR,0.993,0.979
tLR,0.985,0.918
