,f1,cv
D-KNN,0.301,0.226
D-tKNN,0.384,0.33
NSC,0.293,0.262
tNSC,0.293,0.262
MNB,0.077,0.087
tMNB,0.411,0.377
LSVM,0.258,0.114
tLSVM,0.419,0.34
LR,0.159,0.116
tLR,0.509,0.273
