,f1,cv
KNN,0.665,0.517
tKNN,0.915,0.849
NSC,0.704,0.666
tNSC,0.884,0.832
MNB,0.061,0.08
tMNB,0.896,0.847
LSVM,0.646,0.525
tLSVM,0.928,0.819
LR,0.126,0.113
tLR,0.601,0.354
