,f1,cv
D-KNN,0.806,0.583
D-tKNN,0.937,0.844
D-NSC,0.878,0.785
D-tNSC,0.895,0.808
LSVM,0.999,0.986
tLSVM,0.999,0.987
LR,0.999,0.987
tLR,0.912,0.74
