,f1,cv
KNN,0.681,0.503
tKNN,0.953,0.905
NSC,0.756,0.683
tNSC,0.955,0.897
MNB,0.067,0.078
tMNB,0.941,0.877
LSVM,0.718,0.579
tLSVM,0.935,0.838
LR,0.145,0.119
tLR,0.591,0.349
