,f1,cv
D-KNN,0.32,0.225
D-tKNN,0.4,0.34
NSC,0.286,0.28
tNSC,0.286,0.28
MNB,0.073,0.082
tMNB,0.369,0.363
LSVM,0.173,0.137
tLSVM,0.367,0.293
LR,0.154,0.113
tLR,0.434,0.233
