,f1,cv
KNN,0.689,0.511
tKNN,0.922,0.863
NSC,0.738,0.673
tNSC,0.907,0.848
MNB,0.067,0.081
tMNB,0.915,0.869
LSVM,0.666,0.543
tLSVM,0.931,0.842
LR,0.133,0.116
tLR,0.598,0.349
