,f1,cv
KNN,0.62,0.471
tKNN,0.957,0.919
NSC,0.707,0.658
tNSC,0.954,0.904
MNB,0.069,0.075
tMNB,0.929,0.864
LSVM,0.728,0.612
tLSVM,0.917,0.808
LR,0.144,0.124
tLR,0.565,0.366
