,f1,cv
D-KNN,0.772,0.557
D-tKNN,0.881,0.798
D-NSC,0.799,0.729
D-tNSC,0.797,0.731
LSVM,0.994,0.979
tLSVM,0.993,0.983
LR,0.993,0.983
tLR,0.985,0.909
