,f1,cv
KNN,0.481,0.364
tKNN,0.581,0.56
NSC,0.554,0.518
tNSC,0.615,0.558
MNB,0.55,0.509
tMNB,0.65,0.607
LSVM,0.608,0.567
tLSVM,0.627,0.624
LR,0.565,0.513
tLR,0.508,0.494
