,f1,cv
KNN,0.25,0.27
tKNN,0.538,0.576
NSC,0.562,0.585
tNSC,0.535,0.589
MNB,0.346,0.349
tMNB,0.635,0.663
LSVM,0.619,0.625
tLSVM,0.654,0.654
LR,0.577,0.588
tLR,0.442,0.431
