,f1,cv
KNN,0.369,0.339
tKNN,0.562,0.606
NSC,0.592,0.547
tNSC,0.588,0.577
MNB,0.481,0.452
tMNB,0.654,0.642
LSVM,0.608,0.604
tLSVM,0.635,0.629
LR,0.588,0.55
tLR,0.485,0.435
