,f1,cv
D-KNN,0.34,0.288
D-tKNN,0.34,0.333
NSC,0.27,0.283
D-tNSC,0.26,0.285
MNB,0.075,0.09
tMNB,0.36,0.37
LSVM,0.38,0.362
tLSVM,0.49,0.419
LR,0.138,0.101
tLR,0.422,0.306
