,f1,cv
KNN,0.625,0.546
tKNN,0.885,0.856
NSC,0.703,0.663
tNSC,0.89,0.855
MNB,0.935,0.889
tMNB,0.94,0.901
LSVM,0.927,0.872
tLSVM,0.922,0.872
LR,0.92,0.853
tLR,0.865,0.801
