,f1,cv
KNN,0.63,0.548
tKNN,0.85,0.838
NSC,0.72,0.649
tNSC,0.875,0.855
MNB,0.075,0.09
tMNB,0.872,0.853
LSVM,0.685,0.619
tLSVM,0.87,0.844
LR,0.08,0.093
tLR,0.61,0.458
